Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4),Plasma_Neg_2.raw (F5),Plasma_Neg_3.raw (F6),Plasma_Pos_1.raw (F7),Plasma_Pos_2.raw (F8),Plasma_Pos_3.raw (F9),
1.681,692.27496,+,82286.89475,,,3,Adduct of existing peak,44796.30947,0.0,1830.790969,0.0,0.0,0.0,53195.51031,82286.89475,52504.61891,
1.682,625.45447,+,60691.54179,,,3,,60691.54179,0.0,1437.238364,0.0,0.0,0.0,40399.00006,48320.26346,48013.09674,
1.683,506.32364,-,376480.5838,,,2,In-source fragment,276156.4275,5092.683618,0.0,376480.5838,270824.4699,302805.9558,0.0,0.0,0.0,
1.684,522.35425,+,7023778.74,LysoPC 18:1,LysoPC,8,,7023778.74,0.0,197634.6386,0.0,0.0,0.0,5331331.918,5586455.186,5480453.371,
1.685,496.13638,+,64378.76153,,,2,,54494.05625,0.0,895.7159597,0.0,0.0,0.0,58795.62187,64378.76153,43724.32703,
1.699,321.20941,-,63359.45756,,,4,,39997.7805,6059.582671,0.0,57019.39844,59411.56119,63359.45756,0.0,0.0,0.0,
1.705,969.64557,+,282499.1985,,,5,,39486.87606,0.0,64535.44525,0.0,0.0,0.0,282499.1985,48510.18961,38694.03975,
1.707,478.29263,-,435470.6849,LysoPE 18:1,LysoPE,5,,435470.6849,5305.69642,5448.545643,203779.5698,239059.905,187105.8824,119077.7531,114545.4505,116621.9658,
1.718,857.50201,-,20323.92416,,,3,,2075.149771,5585.680056,0.0,18333.48163,20323.92416,19393.27267,0.0,0.0,0.0,
1.79,661.46283,+,511979.3265,,,5,,30965.31306,0.0,43837.09841,0.0,0.0,0.0,511979.3265,22876.6512,28990.48267,
1.806,581.36511,+,26355.15388,,,4,,23813.28189,0.0,1469.6864,0.0,0.0,0.0,20804.46153,18747.54659,26355.15388,
1.838,806.58264,+,217930.6915,,,5,,199579.9781,0.0,70298.63983,0.0,0.0,0.0,143092.6906,156828.9679,217930.6915,
1.846,580.3609,-,1706070.474,LysoPC 18:1,LysoPC,5,Redundant Identification,1661515.66,38116.73208,0.0,1461758.943,1706070.474,1488799.303,0.0,0.0,0.0,
1.846,566.34418,-,49993.74709,,,3,Adduct of existing peak,42140.36011,1081.231177,0.0,46535.47285,49993.74709,36446.76086,0.0,0.0,0.0,
1.846,738.34985,-,43320.73473,,,4,,38520.01778,372.4763964,0.0,41108.91037,43320.73473,40597.82197,0.0,0.0,0.0,
1.846,662.3642,-,41908.86155,,,4,,40042.10461,443.683166,0.0,37029.87264,41908.86155,38123.26899,0.0,0.0,0.0,
1.847,506.32352,-,337788.4417,,,4,In-source fragment,337788.4417,6547.500367,0.0,283004.203,324137.5686,307135.6258,0.0,0.0,0.0,
