Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
2.813,524.14673,+,26554.37955,,,2,26554.37955,0.0,273.0316529,24987.26621,26133.56328,8008.856646,
2.814,487.27979,+,13439.39451,,,3,7455.119526,0.0,323.4756041,13439.39451,11198.17413,12981.97442,
2.839,349.24081,-,129188.729,,,4,51527.66216,10109.41942,0.0,95775.22916,119025.4771,129188.729,
3.011,253.21672,-,353901.7821,,,4,240412.7617,21351.55577,0.0,353901.7821,306439.3325,243018.0548,
3.028,660.42358,+,43887.58927,,,4,43887.58927,0.0,308.408625,34450.51201,27573.60392,35382.14526,
3.139,485.11139,+,136408.023,,,2,136408.023,0.0,3484.769061,3528.024283,9436.886821,30500.90771,
3.143,327.23193,-,135547.0752,,,4,124400.3588,4023.437223,0.0,132469.1976,135547.0752,111255.3479,
3.192,466.3291,+,116308.8719,,,7,116308.8719,753.8789936,254.2890561,47571.43215,46922.46545,49299.06416,
3.257,303.23199,-,752510.5929,,,4,501863.1977,31471.30387,0.0,517485.2675,607579.3556,752510.5929,
3.257,508.3761,+,55514.60024,,,4,55514.60024,0.0,645.2248763,34101.52993,36060.2212,36856.22249,
3.33,510.39172,+,105795.7272,,,4,105795.7272,0.0,3143.802237,86552.75352,76496.68878,83885.92075,
3.357,402.35733,+,665442.9061,,,5,665442.9061,0.0,155836.2857,380487.2016,395070.8453,405616.5519,
3.361,253.21672,-,395778.3469,,,4,378913.8989,17172.23659,0.0,395778.3469,363184.5819,374963.3044,
3.593,279.23215,-,3890247.657,,,5,3574317.202,196504.8976,0.0,3890247.657,3785471.359,3843476.88,
3.598,485.11139,+,102198.0195,,,2,102198.0195,0.0,1285.557494,3665.292494,4054.61011,18698.64891,
3.623,385.23495,-,31924.91854,,,4,31924.91854,537.6356009,0.0,27799.11407,27033.46645,31112.8628,
3.695,790.58826,+,90414.74123,,,2,90414.74123,0.0,4649.065794,54092.71177,41270.8815,49623.01446,
3.729,702.53571,+,107195.6591,,,3,107195.6591,0.0,22947.53709,86666.84786,75300.59831,67864.5937,
3.772,878.64069,+,29789.96687,,,3,29789.96687,0.0,9044.096747,22497.82221,20299.33766,21961.79183,
3.773,279.23209,-,1622542.691,,,3,1622542.691,196504.8976,0.0,1457365.389,1485748.294,1411094.742,
3.78,658.50916,+,137322.1803,,,2,137322.1803,0.0,33164.64598,93876.74166,93461.16298,115738.8348,
3.781,995.56818,+,34999.41933,,,4,26338.19527,0.0,4915.984188,34999.41933,30125.15714,28428.91834,
3.795,971.64001,+,1888415.821,,,6,1888415.821,0.0,55460.7623,80205.3747,77082.0351,90338.6882,
3.843,790.58759,+,62481.4094,,,4,62481.4094,0.0,14445.45112,54092.71177,50223.5329,49214.37885,
3.868,746.56171,+,81819.55343,,,5,81819.55343,0.0,20299.10086,69819.26438,66349.88644,73373.1579,
3.874,702.53571,+,156600.7335,,,6,119079.0094,0.0,34621.25327,156600.7335,84169.05537,90529.92324,
3.945,241.21632,-,37560.65131,,,3,35841.47878,10429.4958,0.0,30249.60053,37560.65131,36963.09814,
3.964,437.22067,-,63597.4884,,,4,51286.94374,1480.647416,0.0,56633.59889,52890.32243,63597.4884,
3.964,601.22729,-,20088.0719,,,4,18480.76303,328.8710292,0.0,20088.0719,18425.04412,19850.36372,
3.964,611.50623,-,14463.60251,,,2,7350.830496,189.4460177,0.0,13433.22178,14463.60251,14178.90698,
3.965,361.23508,-,146336.3031,,,4,141608.7806,4257.950536,0.0,146336.3031,142241.6199,137199.4065,
3.967,279.23215,-,5032407.677,,,5,5003446.302,160960.9872,0.0,5032407.677,4815356.184,4898525.724,
3.968,581.45398,-,11868.87914,,,3,9675.549117,135.4481173,0.0,11731.65704,9931.474711,11868.87914,
3.969,547.27777,+,23009.71725,,,2,23009.71725,0.0,1343.294625,14380.33533,16820.19626,16748.55922,
3.969,279.14706,-,12379.30574,,,2,12243.18832,189.0088103,0.0,1575.621294,12379.30574,2386.440089,
3.972,874.20386,+,36118.66162,,,3,441.2003393,0.0,491.7870084,36118.66162,25598.60578,30740.76387,
3.973,453.27258,+,53006.07054,,,3,53006.07054,0.0,654.7163376,18631.22271,26460.16741,32706.41797,
3.973,483.19965,+,30117.87636,,,4,30117.87636,0.0,563.1037125,20700.87498,18713.58361,16224.10733,
3.973,559.18604,+,29877.75939,,,4,29877.75939,0.0,554.2101279,24165.23064,21420.49894,21753.43606,
4.028,482.40436,+,116572.4757,,,3,116572.4757,0.0,26650.36626,25431.03602,21726.93003,15066.18493,
4.047,883.5874,+,119386.5249,,,5,53594.40061,0.0,38572.20958,44401.57219,59025.88577,119386.5249,
4.097,329.24796,-,78068.75764,,,2,59223.30271,2592.885603,0.0,63833.4815,76053.25483,78068.75764,
4.266,489.27222,+,47644.19322,,,3,47644.19322,0.0,12641.48234,38299.44618,41415.63683,36517.40785,
4.364,329.24802,-,27350.65555,,,3,26905.33863,857.4031804,0.0,27350.65555,24896.49631,26617.87986,
4.419,416.37283,+,60038.49131,,,4,60038.49131,0.0,19525.75717,37883.50388,37564.14259,39568.4186,
4.421,267.23236,-,57233.70247,,,4,56552.01212,1504.855844,0.0,47748.39653,47553.22219,57233.70247,
4.436,489.27222,+,49658.38627,,,4,49658.38627,0.0,12772.92498,41328.51439,38440.2939,38010.55575,
4.443,465.30301,-,692071.0072,,,3,692071.0072,35440.88126,0.0,627141.2464,478197.6462,623065.4228,
4.517,581.37085,+,106085.6376,,,3,106085.6376,0.0,11782.54132,36696.68806,39860.99754,54463.98326,
4.608,591.38898,-,45503.50116,,,4,43824.94815,810.9457962,0.0,44946.26173,45503.50116,45449.56968,
4.65,695.35718,+,6692652.31,,,4,6692652.31,0.0,1927892.124,2503481.937,3435913.693,3275508.626,
4.671,305.24759,-,316864.1992,,,4,316864.1992,6785.598662,0.0,277777.0246,284955.1495,293009.7195,
4.684,617.35571,+,341790.1907,,,3,341790.1907,0.0,60361.26912,329635.9906,314682.1584,289479.1162,
4.749,892.65381,+,39646.79141,,,2,19654.0212,0.0,7307.301267,13196.76292,13481.95234,39646.79141,
4.755,1174.17505,+,38697.03113,,,3,1211.928721,0.0,1265.315402,38697.03113,25876.32083,32708.05283,
4.761,710.39294,+,1458956.184,,,5,23187.29583,0.0,439630.9112,622033.9577,722663.3243,1458956.184,
4.763,850.20349,+,226626.0112,,,2,5115.667086,0.0,4221.210999,226626.0112,68818.91002,92678.01485,
4.769,913.39398,+,36884.03725,,,4,36884.03725,0.0,1694.277852,26053.79659,22156.24088,19763.26752,
4.781,654.33063,+,3897771.366,,,5,3897771.366,0.0,1256373.733,932413.8389,718996.7688,833024.2333,
4.793,804.60223,+,57841.42536,,,5,57841.42536,0.0,17247.79935,38363.57403,39424.69478,41219.51355,
4.81,617.35571,+,607808.4876,,,5,607808.4876,0.0,107611.8819,374274.1241,353092.2133,365924.819,
