Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Rep1.raw (F1),Hap1_Neg_1.raw (F2)+Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4)+Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),
2.628,518.32172,-,225995.3504,,,4,225995.3504,219954.2112,129117.8232,188026.9184,
2.631,398.3233,+,268026.5996,,,2,32827.55787,268026.5996,199223.641,185112.9272,
2.639,442.34909,+,224727.3095,,,3,20469.62083,207021.8438,189838.3323,224727.3095,
2.724,301.215,-,472420.7632,,,5,168433.0413,82469.41733,238091.112,472420.7632,
2.807,622.40405,+,812872.9961,,,3,812872.9961,137878.0098,275809.7035,209114.1085,
2.84,558.35205,+,1882973.707,LysoPE 24:4,LysoPE,7,1882973.707,899752.5566,924642.6261,851636.0703,
2.847,582.37396,-,1286291.004,,,2,183234.6616,983617.2101,1286291.004,942289.1902,
2.859,301.21497,-,637113.8814,,,2,515630.4908,637113.8814,283337.4812,272730.4927,
2.861,479.34491,+,97864.49814,,,2,82087.77485,60617.93289,97864.49814,50975.653,
2.892,600.39929,+,234918.1947,LysoPC 24:4,LysoPC,4,234918.1947,171279.2461,191177.2601,165764.0579,
2.9,508.33661,+,4485922.072,LysoPE 20:1,LysoPE,4,4485922.072,4206774.09,4327722.711,4125492.411,
2.901,546.28302,+,127341.6542,,,3,127341.6542,121243.2007,120687.1323,121280.4829,
2.906,482.32086,+,1.067955769E7,LysoPE 18:0,LysoPE,7,1.067955769E7,4869009.667,4837134.053,4904432.193,
2.909,989.6499,+,86583.00123,,,3,86583.00123,62127.09617,62682.25933,69082.97253,
2.917,341.3024,+,255190.6831,,,4,255190.6831,195999.2407,202333.8929,203868.8493,
2.919,636.4198,+,1127953.321,,,3,1127953.321,272796.6185,405059.0653,324990.2402,
2.919,504.30475,+,347936.8125,,,4,347936.8125,306985.7624,311933.5787,303914.0874,
2.938,550.38367,+,2051126.619,LysoPC 20:1,LysoPC,4,2051126.619,1470731.088,1531457.705,1499426.713,
2.941,664.37677,-,121400.5713,,,2,121400.5713,85016.78385,80919.10434,112099.9716,
2.959,524.36786,+,2.220960076E7,LysoPC 18:0,LysoPC,9,2.220960076E7,1.646180983E7,1.710230382E7,1.693354119E7,
2.972,622.33545,+,478647.214,,,5,478647.214,254881.1304,258551.8219,262712.669,
2.99,390.35522,+,198871.5264,,,2,198871.5264,151248.1401,155531.3838,142494.3064,
3.053,349.23959,-,88964.52097,,,4,88964.52097,60327.29655,41365.92927,43703.46691,
3.082,776.56909,+,240812.8742,,,2,135546.2029,106465.3386,85597.87708,240812.8742,
3.091,556.43884,+,116217.4467,,,2,99223.07943,94159.11311,87645.68377,116217.4467,
3.119,506.32138,-,1422749.389,LysoPE 20:1,LysoPE,2,1422749.389,812227.3813,1243619.292,1120370.065,
3.119,732.54303,+,185452.6525,,,4,185452.6525,157384.5601,156795.0113,139065.4833,
3.124,544.33777,-,145326.0265,,,4,145326.0265,124527.8033,139573.7878,132704.5837,
3.148,688.51678,+,237486.93,,,4,237486.93,198716.7041,180547.4887,182654.6698,
3.163,533.28784,-,182680.1963,,,4,182680.1963,130852.1918,75455.50999,78844.90497,
3.175,644.49072,+,274455.1845,,,4,274455.1845,242883.3613,223590.2145,224551.381,
3.19,600.4646,+,359466.8842,,,5,323085.5343,268329.0254,359466.8842,269394.8638,
3.214,556.4386,+,390083.344,,,5,374160.2207,305833.9828,390083.344,300464.4141,
3.219,332.3287,+,5524067.507,,,4,5524067.507,5034016.117,4099076.193,5294178.95,
3.238,277.21542,-,227041.1503,,,2,227041.1503,147761.735,130692.1155,127821.9541,
3.241,512.4126,+,439028.1356,,,4,364239.3313,354034.727,310250.7007,439028.1356,
3.255,558.35175,+,2022859.928,LysoPE 24:4,LysoPE,7,2022859.928,1300068.633,1328569.204,1080554.899,
3.26,560.33099,+,474476.9448,,,6,474476.9448,337273.17,360375.4103,336940.5495,
3.264,468.38651,+,261329.1272,,,4,261329.1272,226168.3367,238878.0115,213796.8504,
3.266,550.38367,+,3023615.812,LysoPC 20:1,LysoPC,4,3023615.812,2139738.455,2207402.038,2127375.926,
3.269,417.3335,+,132631.3564,,,4,132631.3564,112765.929,113913.5847,92750.00987,
3.274,424.36038,+,113001.7512,,,4,113001.7512,87019.43128,94878.07827,90213.7908,
3.299,680.40985,+,641967.0337,,,4,641967.0337,172144.0479,239962.4105,177916.8788,
3.31,327.23056,-,2782291.189,,,3,1389267.827,5938.054792,2782291.189,1368595.385,
3.321,600.39929,+,260551.0786,LysoPC 24:4,LysoPC,4,260551.0786,192202.3505,213241.9078,211841.1332,
3.457,327.23062,-,6623774.845,,,5,6142944.98,6623774.845,4257854.329,3927115.579,
3.485,242.28241,+,178222.2497,,,2,178222.2497,166086.1932,169765.0238,140301.8744,
3.489,468.34213,+,110561.9487,,,4,110561.9487,95379.21618,89786.7907,91686.49014,
3.505,409.23294,-,183666.3635,,,2,183666.3635,171949.4826,1169.599164,125119.2027,
3.524,777.41504,-,105055.1244,,,3,105055.1244,72529.45714,70049.36621,56369.04092,
3.528,650.43475,+,2739984.37,,,2,2739984.37,352123.8068,1066948.197,473308.8329,
3.533,533.34052,-,701623.1063,,,2,701623.1063,478861.4045,475598.8001,299674.3133,
3.535,534.35229,+,6185070.119,LysoPE 22:2,LysoPE,6,6185070.119,3055996.876,3005770.402,3011149.03,
3.536,510.38889,+,844397.5345,,,4,844397.5345,604606.5326,635764.8897,593162.7084,
3.548,393.33362,+,615622.4575,,,4,615622.4575,469834.6333,474265.8352,456312.2049,
3.571,314.33951,+,606348.5968,,,4,606348.5968,558051.3458,540576.9635,520333.7004,
3.573,538.38916,+,290156.5634,LysoPC 19:0,LysoPC,2,290156.5634,176593.9845,208489.6501,169734.2517,
3.577,558.35205,+,144205.7041,LysoPE 24:4,LysoPE,4,144205.7041,134713.5347,127349.3127,113235.2108,
3.586,576.39917,+,878373.9261,LysoPC 22:2,LysoPC,7,878373.9261,649379.1971,683691.58,649838.855,
3.596,466.32629,+,967552.2475,,,7,967552.2475,675689.8824,617452.2451,630696.9058,
3.603,327.22952,+,225875.5024,,,4,225875.5024,181764.5536,171121.9666,163586.6654,
3.603,285.18268,+,124472.2318,,,3,124472.2318,88091.91121,96698.27946,77122.19102,
3.603,524.39117,+,102398.8718,,,3,36522.17607,102398.8718,92005.50918,97570.01097,
3.604,501.3158,+,294578.1448,,,4,294578.1448,153648.1191,237254.9614,130672.2414,
3.672,650.43475,+,3062504.608,,,3,3062504.608,917922.8825,1223184.789,1325949.476,
3.739,423.27594,-,132977.2389,,,4,132977.2389,115357.8795,65261.99314,79617.38027,
3.751,450.35596,-,1230383.247,,,2,4224.263598,1119581.662,1230383.247,905372.0849,
3.805,303.23071,-,4835609.084,,,2,3039132.791,1949104.26,4835609.084,3373936.48,
3.81,650.43475,+,7062975.318,,,4,7062975.318,3731562.67,2530079.257,2238205.639,
3.831,332.3287,+,1.936168753E8,,,4,1.936168753E8,1.818722313E8,1.835978612E8,1.847611837E8,
3.832,723.67151,+,679842.3087,,,4,679842.3087,468827.4723,515881.5459,468801.5877,
3.833,450.35556,-,1330254.714,,,2,1330254.714,1119581.662,1230383.247,905372.0849,
