Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4),Yeast_Neg_2.raw (F5),Yeast_Neg_3.raw (F6),Yeast_Pos_1.raw (F7),Yeast_Pos_2.raw (F8),Yeast_Pos_3.raw (F9),
0.947,851.39636,+,1017188.143,,,5,Adduct of existing peak,1017188.143,0.0,608.7894516,0.0,0.0,0.0,957857.6416,709106.0686,982910.713,
0.948,826.42261,-,34786.38821,,,2,,34786.38821,2384.616797,0.0,34554.18615,29191.81137,26279.51719,0.0,0.0,0.0,
0.949,415.21054,+,7.634257706E7,,,10,,7.634257706E7,2216.02541,9315.972255,22431.68328,18559.11384,61862.79616,2.022310482E7,2.313133329E7,2.208419384E7,
0.952,499.14044,-,35632.91491,,,4,Adduct of existing peak,35632.91491,2106.248409,0.0,15402.33457,26819.39164,25688.41631,0.0,0.0,0.0,
0.953,421.15399,-,2159616.997,,,5,Adduct of existing peak,2159616.997,20315.33347,0.0,1883500.584,1853503.777,839629.7771,0.0,0.0,0.0,
0.953,355.16687,-,327107.3958,,,5,,323878.7878,15415.57764,0.0,316210.0565,327107.3958,281887.3484,0.0,0.0,0.0,
0.954,387.19205,+,2434839.869,,,4,,2434839.869,12138.47869,8750.548618,168819.8658,209650.5133,189739.421,76064.76749,55186.76861,57218.87388,
0.955,445.19846,-,645818.465,,,5,Adduct of existing peak,640076.842,38872.23271,0.0,645818.465,620767.7697,582742.5503,0.0,0.0,0.0,
0.959,465.17944,+,735419.3193,,,6,,735419.3193,2413.239914,1353.119285,148889.863,120806.0699,104176.0719,406048.689,402273.1535,398441.0357,
0.959,277.1799,-,77234.77988,,,4,,77234.77988,1812.64907,0.0,72244.18692,72159.41996,66816.36557,0.0,0.0,0.0,
0.959,921.31598,-,44912.12823,,,3,,35032.57989,2036.404588,0.0,26496.33727,44912.12823,36269.44654,0.0,0.0,0.0,
0.96,700.43396,-,32434.28231,,,3,,32434.28231,2013.151161,0.0,29855.76673,23069.66827,25738.68661,0.0,0.0,0.0,
0.963,927.38165,+,66287.85937,,,4,,30619.86723,0.0,1024.851583,0.0,0.0,0.0,66287.85937,41513.80603,59857.93363,
0.964,409.1738,+,73740.88874,,,2,Adduct of existing peak,69739.83313,0.0,9495.047756,0.0,0.0,0.0,73740.88874,64345.68047,54869.16305,
