Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
1.087,410.22037,+,84592.57434,,,3,84592.57434,0.0,20770.28459,53497.56465,65389.16105,55433.55805,
1.087,769.41119,+,66524.22381,,,4,66524.22381,0.0,92.04292483,56792.21317,55039.26291,54467.67357,
1.092,632.45898,+,21772.68243,,,3,21772.68243,0.0,168.2318383,15975.82429,18471.54322,20147.92787,
1.1,524.29779,+,1737481.904,,,9,1737481.904,332.1051078,192.4275021,762670.0678,662402.7837,642408.915,
1.103,544.40625,+,28006.81667,,,3,28006.81667,0.0,152.5858677,20103.53629,20154.78809,18031.74345,
1.104,597.30316,-,1029818.166,LysoPI 18:1,LysoPI,5,1029818.166,285.7795047,99.74602957,751598.6323,841884.1032,1003416.434,
1.112,293.17834,-,190818.9676,,,3,190818.9676,14904.87057,0.0,119838.7272,125319.1558,179488.2164,
1.124,447.19714,+,33036.51175,,,3,26309.48095,0.0,1214.273169,29778.62848,33036.51175,30055.06625,
1.126,818.49988,-,47569.47969,,,4,39795.5616,227.3858889,0.0,40618.06961,47569.47969,28591.5235,
1.132,551.26398,+,2663779.984,,,4,2663779.984,0.0,144.7278965,1293570.039,1480899.46,1340720.274,
1.132,487.2803,+,522420.4748,,,4,522420.4748,0.0,126.7772794,23085.70624,23629.88627,21927.79071,
1.132,490.22375,+,129101.5968,,,4,129101.5968,0.0,95.97152266,50036.36938,37736.95827,35904.24489,
1.137,538.26892,+,85455.25607,,,3,85455.25607,0.0,127.7997012,60339.42139,35319.3544,58049.27263,
1.139,451.1633,+,403908.8852,,,3,212341.6659,0.0,848.9750685,403908.8852,336827.8578,395184.3771,
1.14,581.30756,+,279064.5308,,,2,279064.5308,0.0,50.79102502,190150.4318,238933.2841,183865.0783,
1.151,506.2868,+,34875.07631,,,4,29024.53352,0.0,335.9498754,32662.77686,33848.9983,34875.07631,
1.157,665.508,+,13493.13344,,,4,12604.31587,0.0,87.78290962,9883.820707,10794.3207,13493.13344,
1.162,323.18854,-,48829.2522,,,3,34559.0652,772.5502834,0.0,46161.64116,48829.2522,36074.26726,
1.167,452.27634,+,5430344.795,LysoPE 16:1,LysoPE,8,5430344.795,115.9326505,157.203945,1870247.867,2010966.958,1309739.274,
1.169,460.41122,+,96561.28551,,,5,96561.28551,0.0,12465.38772,83051.72933,81081.52174,77130.24467,
1.171,494.32324,+,2.35631423E7,LysoPC 16:1,LysoPC,9,2.35631423E7,0.0,4090.39161,1.835533129E7,1.860966741E7,1.81473134E7,
1.171,392.25363,+,342975.978,,,7,342975.978,68505.12242,8125.606964,68441.8098,211804.6379,188814.0002,
1.172,474.96259,-,103534.19,,,2,1738.061754,565.5999254,0.0,1579.983011,32810.10413,103534.19,
1.174,653.29974,-,591442.9206,,,9,591442.9206,1264.212159,1041.184042,398644.212,314951.363,167491.9558,
1.176,668.43549,+,38802.74515,,,2,38802.74515,0.0,75.63063554,6614.075115,9198.464033,8904.692943,
1.178,588.1994,+,36840.43714,,,2,36840.43714,0.0,93.55338083,18318.13063,17559.83198,20973.33941,
1.18,634.3324,-,48052.42198,,,4,41655.90231,206.0013555,0.0,48052.42198,42470.48843,38200.784,
